dia,periodo,tipo_entrega,borda,refrigerante,valor_total,tempo
Friday,Final,Entrega,"Borda Nao","Refri Nao","vl 14-18","tp 10-22"
Saturday,Inicio,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
Saturday,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
Saturday,Inicio,Entrega,"Borda Sim","Refri Nao","vl 34-38","tp 33-44"
Saturday,Inicio,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
Saturday,Inicio,buscar,"Borda Nao","Refri Nao","vl 34-38","tp 33-44"
Saturday,Inicio,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
Saturday,Inicio,Buscar,"Borda Nao","Refri Nao","vl 10-14","tp 44-55"
Saturday,Inicio,Entrega,"Borda Nao","Refri Sim","vl 38-42","tp 33-44"
Saturday,Inicio,Entrega,"Borda Nao","Refri Nao","vl 38-42","tp 22-33"
Saturday,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 44-55"
Saturday,Pico,Buscar,"Borda Nao","Refri Sim","vl 22-26","tp 44-55"
Saturday,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
Saturday,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
Saturday,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
Saturday,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 33-44"
Saturday,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
Saturday,Pico,Buscar,"Borda Sim","Refri Sim","vl 26-30","tp 44-55"
Saturday,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
Saturday,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
Saturday,Pico,Entrega,"Borda Nao","Refri Nao","vl 38-42","tp 44-55"
Saturday,Pico,Entrega,"Borda Nao","Refri Nao","vl 38-42","tp 44-55"
Saturday,Pico,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
Saturday,Pico,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
Saturday,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
Saturday,Final,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
Sunday,Inicio,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 44-55"
Sunday,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
Sunday,Inicio,Entrega,"Borda Nao","Refri Sim","vl 30-34","tp 33-44"
Sunday,Inicio,Entrega,"Borda Sim","Refri Nao","vl 22-26","tp 44-55"
Sunday,Inicio,Entrega,"Borda Sim","Refri Nao","vl 26-30","tp 44-55"
