dia,periodo,tipo_entrega,borda,refrigerante,valor_total,tempo
quinta,Inicio,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
quinta,Inicio,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
quinta,Inicio,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
quinta,Inicio,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
quinta,Inicio,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
quinta,Inicio,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 22-33"
quinta,Inicio,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
quinta,Pico,Buscar,"Borda Nao","Refri Sim","vl 26-30","tp 10-22"
quinta,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
quinta,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 22-33"
quinta,Pico,Buscar,"Borda Nao","Refri Sim","vl 22-26","tp 33-44"
quinta,Pico,Buscar,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
quinta,Final,Buscar,"Borda Nao","Refri Sim","vl 22-26","tp 33-44"
quinta,Final,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
sexta,Inicio,Buscar,"Borda Sim","Refri Nao","vl 30-34","tp 33-44"
sexta,Inicio,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 22-33"
sexta,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 22-33"
sexta,Pico,Entrega,"Borda Nao","Refri Sim","vl 26-30","tp 22-33"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 33-44"
sexta,Pico,Entrega,"Borda Sim","Refri Nao","vl 30-34","tp 33-44"
sexta,Pico,Buscar,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 26-30","tp 33-44"
sexta,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 33-44"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Sim","vl 34-38","tp 44-55"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 44-55"
sexta,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
sexta,Pico,Buscar,"Borda Nao","Refri Nao","vl 30-34","tp 22-33"
sexta,Pico,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 44-55"
sexta,Final,buscar,"Borda Nao","Refri Nao","vl 18-22","tp 33-44"
sexta,Final,Entrega,"Borda Nao","Refri Nao","vl 34-38","tp 10-22"
sexta,Final,Entrega,"Borda Nao","Refri Nao","vl 30-34","tp 10-22"
sexta,Final,Entrega,"Borda Nao","Refri Nao","vl 14-18","tp 10-22"
sábado,Inicio,Buscar,"Borda Nao","Refri Nao","vl 18-22","tp 44-55"
sábado,Inicio,Entrega,"Borda Nao","Refri Nao","vl 22-26","tp 33-44"
